,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predictions,flow_key
20,58707,0.1428489685058593,16,0,7844,0,1304,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.25,0,0,490.25,16,0,0,0,0,0,0,0,0,0,0,0,0,0.1129149760090513,0,0.1428489685058593,0.0050950050354003,0.030980889002482,0.0443943221381804,0.1428489685058593,0.0050950050354003,0,"('204.79.197.239', 443, '192.168.1.7', 58707)"
21,443,1.4701769351959229,13,0,2346,0,793,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.46153846153845,0,0,180.46153846153845,13,0,0,0,0,0,0,0,0,0,0,0,0,1.287409272918012,0,1.4701769351959229,0.2870948314666748,0.8308061758677164,0.3398677381798237,1.4701769351959229,0.2870948314666748,0,"('192.168.1.7', 58708, '34.211.66.171', 443)"
22,80,1.1230800151824951,67,0,4842,0,490,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.26865671641791,0,0,72.26865671641791,67,0,0,0,0,0,0,0,0,0,0,0,0,1.1223208328791667,0,1.1230800151824951,0.0675408840179443,0.3607096346941861,0.4101456582640639,1.1230800151824951,0.0675408840179443,1,"('192.168.1.7', 58700, '103.53.14.0', 80)"
23,58700,1.086305856704712,150,0,191760,0,1304,123,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278.4,0,0,1278.4,150,0,0,0,0,0,0,0,0,0,0,0,0,1.0862555446190891,0,1.086305856704712,0.0704479217529296,0.4250052407283911,0.4601059726176775,1.086305856704712,0.0704479217529296,0,"('103.53.14.0', 80, '192.168.1.7', 58700)"
24,443,1.6827130317687988,29,0,13666,0,1292,71,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.2413793103448,0,0,471.2413793103448,29,0,0,0,0,0,0,0,0,0,0,0,0,1.6378387844692632,0,1.6827130317687988,0.0001039505004882,0.8180635401180812,0.5302669366987515,1.6827130317687988,0.0001039505004882,0,"('192.168.1.7', 62695, '142.250.194.206', 443)"
25,62695,1.6707031726837158,21,0,4971,0,1292,64,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.7142857142857,0,0,236.7142857142857,21,0,0,0,0,0,0,0,0,0,0,0,0,1.5597502687089673,0,1.6707031726837158,0.0247151851654052,0.8048847556114197,0.4814307533291348,1.6707031726837158,0.0247151851654052,0,"('142.250.194.206', 443, '192.168.1.7', 62695)"
26,58708,1.1832499504089355,16,0,6941,0,1304,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8125,0,0,433.8125,16,0,0,0,0,0,0,0,0,0,0,0,0,1.1053558255080134,0,1.1832499504089355,0.2898330688476562,0.6284010410308838,0.3244691340619126,1.1832499504089355,0.2898330688476562,0,"('34.211.66.171', 443, '192.168.1.7', 58708)"
27,443,1.318977117538452,13,0,2347,0,794,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.53846153846155,0,0,180.53846153846155,13,0,0,0,0,0,0,0,0,0,0,0,0,1.1553703889949247,0,1.318977117538452,0.2562999725341797,0.7454777956008911,0.3057250244732564,1.318977117538452,0.2562999725341797,0,"('192.168.1.7', 58709, '35.81.97.94', 443)"
28,58709,1.0625810623168943,16,0,6941,0,1304,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8125,0,0,433.8125,16,0,0,0,0,0,0,0,0,0,0,0,0,0.9928046838685988,0,1.0625810623168943,0.2571370601654053,0.5636657238006592,0.2928557395742615,1.0625810623168943,0.2571370601654053,0,"('35.81.97.94', 443, '192.168.1.7', 58709)"
29,443,0.0045228004455566,2,0,108,0,54,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022614002227783,0,0.0045228004455566,0.0045228004455566,0.0045228004455566,0.0,0.0045228004455566,0.0045228004455566,0,"('192.168.1.7', 58367, '23.1.12.109', 443)"
30,58367,0.0,2,0,132,0,78,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('23.1.12.109', 443, '192.168.1.7', 58367)"
31,443,0.0137600898742675,2,0,108,0,54,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068800449371337,0,0.0137600898742675,0.0137600898742675,0.0137600898742675,0.0,0.0137600898742675,0.0137600898742675,0,"('192.168.1.7', 58371, '23.1.12.109', 443)"
32,58371,0.0,2,0,132,0,78,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('23.1.12.109', 443, '192.168.1.7', 58371)"
33,58540,0.0,1,0,54,0,54,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('13.107.137.11', 443, '192.168.1.7', 58540)"
